"OriginalValue" "OriginalMeaning" "RecodedValue" "RecodedMeaning"
"3562032" "Officer, equalities" "3562032" "Officer, equalities"
"3562033" "Officer, equality" "3562033" "Officer, equality"
"3562034" "Officer, establishment" "3562034" "Officer, establishment"
"3562035" "Officer, labour" "3562035" "Officer, labour"
"3562036" "Officer, liaison, labour" "3562036" "Officer, liaison, labour"
"3562037" "Officer, management, labour" "3562037" "Officer, management, labour"
"3562038" "Officer, manpower (coal mine)" "3562038" "Officer, manpower (coal mine)"
"3562039" "Officer, opportunities, equal" "3562039" "Officer, opportunities, equal"
"3562040" "Officer, personnel" "3562040" "Officer, personnel"
"3562041" "Officer, recruiting" "3562041" "Officer, recruiting"
"3562042" "Officer, recruitment" "3562042" "Officer, recruitment"
"3562043" "Officer, relations, employee" "3562043" "Officer, relations, employee"
"3562044" "Officer, relations, industrial" "3562044" "Officer, relations, industrial"
"3562045" "Officer, relations, labour" "3562045" "Officer, relations, labour"
"3562046" "Officer, resources, human" "3562046" "Officer, resources, human"
"3562047" "Officer, services, personnel" "3562047" "Officer, services, personnel"
"3562048" "Officer, staff (gas supplier)" "3562048" "Officer, staff (gas supplier)"
"3562049" "Officer, staff (local government)" "3562049" "Officer, staff (local government)"
"3562050" "Officer, staff (railways)" "3562050" "Officer, staff (railways)"
"3562051" "Officer, staffing" "3562051" "Officer, staffing"
"3562052" "Officer, vetting, positive" "3562052" "Officer, vetting, positive"
"3562053" "Recruiter, staff" "3562053" "Recruiter, staff"
"3562054" "Searcher, job" "3562054" "Searcher, job"
"3562055" "Superintendent, staff" "3562055" "Superintendent, staff"
"3563" "Vocational and industrial trainers and instructors" "3563" "Vocational and industrial trainers and instructors"
"3563001" "Administrator, training" "3563001" "Administrator, training"
"3563002" "Adviser, development, employee" "3563002" "Adviser, development, employee"
"3563003" "Adviser, development, training" "3563003" "Adviser, development, training"
"3563004" "Adviser, training" "3563004" "Adviser, training"
"3563005" "Agent, training" "3563005" "Agent, training"
"3563006" "Assessor, NVQ" "3563006" "Assessor, NVQ"
"3563007" "Assessor, training" "3563007" "Assessor, training"
"3563008" "Consultant, development, training" "3563008" "Consultant, development, training"
"3563009" "Consultant, scheme (training)" "3563009" "Consultant, scheme (training)"
"3563010" "Consultant, scheme (community industries)" "3563010" "Consultant, scheme (community industries)"
"3563011" "Consultant, training" "3563011" "Consultant, training"
"3563012" "Coordinator, TEC" "3563012" "Coordinator, TEC"
"3563013" "Coordinator, course, training" "3563013" "Coordinator, course, training"
"3563014" "Coordinator, training" "3563014" "Coordinator, training"
"3563015" "Instructor (apprentice school)" "3563015" "Instructor (apprentice school)"
"3563016" "Instructor (coal mine)" "3563016" "Instructor (coal mine)"
"3563017" "Instructor (mentally handicapped adult training)" "3563017" "Instructor (mentally handicapped adult training)"
"3563018" "Instructor (training establishment)" "3563018" "Instructor (training establishment)"
"3563019" "Instructor (training provider)" "3563019" "Instructor (training provider)"
"3563020" "Instructor, apprentice" "3563020" "Instructor, apprentice"
"3563021" "Instructor, civilian (government)" "3563021" "Instructor, civilian (government)"
"3563022" "Instructor, computer" "3563022" "Instructor, computer"
"3563023" "Instructor, craft" "3563023" "Instructor, craft"
"3563024" "Instructor, craftsman, apprentice (coal mine)" "3563024" "Instructor, craftsman, apprentice (coal mine)"
"3563025" "Instructor, handicraft" "3563025" "Instructor, handicraft"
"3563026" "Instructor, handicrafts" "3563026" "Instructor, handicrafts"
"3563027" "Instructor, manual" "3563027" "Instructor, manual"
"3563028" "Instructor, supervising" "3563028" "Instructor, supervising"
"3563029" "Instructor, technical" "3563029" "Instructor, technical"
"3563030" "Instructor, trainee" "3563030" "Instructor, trainee"
"3563031" "Instructor, training" "3563031" "Instructor, training"
"3563032" "Lecturer (industrial training)" "3563032" "Lecturer (industrial training)"
"3563033" "Officer, development, staff" "3563033" "Officer, development, staff"
"3563034" "Officer, development, training" "3563034" "Officer, development, training"
"3563035" "Officer, development, youth" "3563035" "Officer, development, youth"
"3563036" "Officer, instructional" "3563036" "Officer, instructional"
"3563037" "Officer, safety and training (coal mine: above ground)" "3563037" "Officer, safety and training (coal mine: above ground)"
"3563038" "Officer, service, training" "3563038" "Officer, service, training"
"3563039" "Officer, support, web (further, higher education)" "3563039" "Officer, support, web (further, higher education)"
"3563040" "Officer, training" "3563040" "Officer, training"
"3563041" "Officer, training and development" "3563041" "Officer, training and development"
"3563042" "Officer, training and education" "3563042" "Officer, training and education"
"3563043" "Officer, training, colliery" "3563043" "Officer, training, colliery"
"3563044" "Officer, training, sales" "3563044" "Officer, training, sales"
"3563045" "Organiser (vocational training)" "3563045" "Organiser (vocational training)"
"3563046" "Provider, training" "3563046" "Provider, training"
"3563047" "Superintendent (apprenticeship)" "3563047" "Superintendent (apprenticeship)"
"3563048" "Supervisor (training)" "3563048" "Supervisor (training)"
"3563049" "Supervisor, apprenticeship" "3563049" "Supervisor, apprenticeship"
"3563050" "Supervisor, trainee (coal mine)" "3563050" "Supervisor, trainee (coal mine)"
"3563051" "Supervisor, training" "3563051" "Supervisor, training"
"3563052" "Supervisor-instructor (government)" "3563052" "Supervisor-instructor (government)"
"3563053" "Teacher, sales" "3563053" "Teacher, sales"
"3563054" "Trainer" "3563054" "Trainer"
"3563055" "Trainer (training provider)" "3563055" "Trainer (training provider)"
"3563056" "Trainer, computer" "3563056" "Trainer, computer"
"3563057" "Trainer, industrial" "3563057" "Trainer, industrial"
"3563058" "Trainer, staff" "3563058" "Trainer, staff"
"3563059" "Trainer, technology, information" "3563059" "Trainer, technology, information"
"3564" "Careers advisers and vocational guidance specialists" "3564" "Careers advisers and vocational guidance specialists"
"3564001" "Adviser, careers" "3564001" "Adviser, careers"
"3564002" "Assistant, careers" "3564002" "Assistant, careers"
"3564003" "Consultant, outplacement" "3564003" "Consultant, outplacement"
"3564004" "Coordinator, education, careers" "3564004" "Coordinator, education, careers"
"3564005" "Coordinator, placement" "3564005" "Coordinator, placement"
"3564006" "Counsellor, outplacement" "3564006" "Counsellor, outplacement"
"3564007" "Counsellor, redundancy" "3564007" "Counsellor, redundancy"
"3564008" "Officer, advisory, careers" "3564008" "Officer, advisory, careers"
"3564009" "Officer, careers" "3564009" "Officer, careers"
"3564010" "Officer, employment (careers service)" "3564010" "Officer, employment (careers service)"
"3564011" "Officer, employment, youth" "3564011" "Officer, employment, youth"
"3564012" "Officer, placement" "3564012" "Officer, placement"
"3564013" "Supervisor, placement" "3564013" "Supervisor, placement"
"3564014" "Tutor, guidance, graduate" "3564014" "Tutor, guidance, graduate"
"3565" "Inspectors of factories, utilities and trading standards" "3565" "Inspectors of factories, utilities and trading standards"
"3565001" "Adviser, consumer" "3565001" "Adviser, consumer"
"3565002" "HMFI" "3565002" "HMFI"
"3565003" "Inspector (electricity supplier)" "3565003" "Inspector (electricity supplier)"
"3565004" "Inspector (gas supplier)" "3565004" "Inspector (gas supplier)"
"3565005" "Inspector (government: DETR: Planning Inspectorate)" "3565005" "Inspector (government: DETR: Planning Inspectorate)"
"3565006" "Inspector (local government)" "3565006" "Inspector (local government)"
"3565007" "Inspector of factories (government)" "3565007" "Inspector of factories (government)"
"3565008" "Inspector of fair trading" "3565008" "Inspector of fair trading"
"3565009" "Inspector of health and safety" "3565009" "Inspector of health and safety"
"3565010" "Inspector of shipping" "3565010" "Inspector of shipping"
"3565011" "Inspector of special subjects" "3565011" "Inspector of special subjects"
"3565012" "Inspector of trading standards" "3565012" "Inspector of trading standards"
"3565013" "Inspector of weights and measures" "3565013" "Inspector of weights and measures"
"3565014" "Inspector, chief (local government)" "3565014" "Inspector, chief (local government)"
"3565015" "Inspector, chief (local government: transport dept)" "3565015" "Inspector, chief (local government: transport dept)"
"3565016" "Inspector, chief (railways)" "3565016" "Inspector, chief (railways)"
"3565017" "Inspector, depot, chief (transport)" "3565017" "Inspector, depot, chief (transport)"
"3565018" "Inspector, district (gas supplier)" "3565018" "Inspector, district (gas supplier)"
"3565019" "Inspector, district (government: MAFF)" "3565019" "Inspector, district (government: MAFF)"
"3565020" "Inspector, divisional (local government)" "3565020" "Inspector, divisional (local government)"
"3565021" "Inspector, divisional (transport)" "3565021" "Inspector, divisional (transport)"
"3565022" "Inspector, electrical (government)" "3565022" "Inspector, electrical (government)"
"3565023" "Inspector, explosives" "3565023" "Inspector, explosives"
"3565024" "Inspector, fire" "3565024" "Inspector, fire"
"3565025" "Inspector, fitting (gas supplier)" "3565025" "Inspector, fitting (gas supplier)"
"3565026" "Inspector, fitting (water company)" "3565026" "Inspector, fitting (water company)"
"3565027" "Inspector, fittings (gas supplier)" "3565027" "Inspector, fittings (gas supplier)"
"3565028" "Inspector, fittings (water company)" "3565028" "Inspector, fittings (water company)"
"3565029" "Inspector, fuel (local government)" "3565029" "Inspector, fuel (local government)"
"3565030" "Inspector, gas" "3565030" "Inspector, gas"
"3565031" "Inspector, health and safety" "3565031" "Inspector, health and safety"
"3565032" "Inspector, hotel" "3565032" "Inspector, hotel"
"3565033" "Inspector, houses, public" "3565033" "Inspector, houses, public"
"3565034" "Inspector, housing" "3565034" "Inspector, housing"
"3565035" "Inspector, housing and planning" "3565035" "Inspector, housing and planning"
"3565036" "Inspector, industrial (gas supplier)" "3565036" "Inspector, industrial (gas supplier)"
"3565037" "Inspector, installation (electricity supplier)" "3565037" "Inspector, installation (electricity supplier)"
"3565038" "Inspector, installation (gas supplier)" "3565038" "Inspector, installation (gas supplier)"
"3565039" "Inspector, lift (DETR)" "3565039" "Inspector, lift (DETR)"
"3565040" "Inspector, maintenance (gas supplier)" "3565040" "Inspector, maintenance (gas supplier)"
"3565041" "Inspector, market (local government)" "3565041" "Inspector, market (local government)"
"3565042" "Inspector, markets (local government)" "3565042" "Inspector, markets (local government)"
"3565043" "Inspector, planning" "3565043" "Inspector, planning"
"3565044" "Inspector, plumbing" "3565044" "Inspector, plumbing"
"3565045" "Inspector, reinstatement (gas supplier)" "3565045" "Inspector, reinstatement (gas supplier)"
"3565046" "Inspector, service (gas supplier)" "3565046" "Inspector, service (gas supplier)"
"3565047" "Inspector, standards, nuclear" "3565047" "Inspector, standards, nuclear"
"3565048" "Inspector, traffic, chief (PO)" "3565048" "Inspector, traffic, chief (PO)"
"3565049" "Inspector, traffic, chief (telecommunications)" "3565049" "Inspector, traffic, chief (telecommunications)"
"3565050" "Inspector, works, public (local government)" "3565050" "Inspector, works, public (local government)"
"3565051" "Officer, chief (local government: weights and measures dept)" "3565051" "Officer, chief (local government: weights and measures dept)"
"3565052" "Officer, enforcement (local government: trading standards)" "3565052" "Officer, enforcement (local government: trading standards)"
"3565053" "Officer, enforcement, standards, trading" "3565053" "Officer, enforcement, standards, trading"
"3565054" "Officer, protection, consumer" "3565054" "Officer, protection, consumer"
"3565055" "Officer, standards, trading" "3565055" "Officer, standards, trading"
"3565056" "Officer, trading, fair" "3565056" "Officer, trading, fair"
"3566" "Statutory examiners" "3566" "Statutory examiners"
"3566001" "Bailiff, river" "3566001" "Bailiff, river"
"3566002" "Bailiff, water" "3566002" "Bailiff, water"
"3566003" "Examiner, driving (DETR)" "3566003" "Examiner, driving (DETR)"
"3566004" "Examiner, flight" "3566004" "Examiner, flight"
"3566005" "Examiner, traffic (DETR)" "3566005" "Examiner, traffic (DETR)"
"3566006" "Examiner, traffic and driving (DETR)" "3566006" "Examiner, traffic and driving (DETR)"
"3566007" "Inspector (RSPCA)" "3566007" "Inspector (RSPCA)"
"3566008" "Inspector (banking)" "3566008" "Inspector (banking)"
"3566009" "Inspector (brewery)" "3566009" "Inspector (brewery)"
"3566010" "Inspector (casino)" "3566010" "Inspector (casino)"
"3566011" "Inspector (coal mine: opencast)" "3566011" "Inspector (coal mine: opencast)"
"3566012" "Inspector (government: Board of Trade: accident investigation branch)" "3566012" "Inspector (government: Board of Trade: accident investigation branch)"
"3566013" "Inspector (government: DETR)" "3566013" "Inspector (government: DETR)"
"3566014" "Inspector (government: DETR: Maritime and Coastguard agency)" "3566014" "Inspector (government: DETR: Maritime and Coastguard agency)"
"3566015" "Inspector (government: DETR: railway inspectorate)" "3566015" "Inspector (government: DETR: railway inspectorate)"
"3566016" "Inspector (government: DTI)" "3566016" "Inspector (government: DTI)"
"3566017" "Inspector (government: inspectorate of alkali, works)" "3566017" "Inspector (government: inspectorate of alkali, works)"
"3566018" "Inspector (government: national insurance agency)" "3566018" "Inspector (government: national insurance agency)"
"3566019" "Inspector (local government: works dept)" "3566019" "Inspector (local government: works dept)"
"3566020" "Inspector (mine: not coal)" "3566020" "Inspector (mine: not coal)"
"3566021" "Inspector (water company)" "3566021" "Inspector (water company)"
"3566022" "Inspector of accidents (Board of Trade)" "3566022" "Inspector of accidents (Board of Trade)"
"3566023" "Inspector of mines (DTI)" "3566023" "Inspector of mines (DTI)"
"3566024" "Inspector of postal services" "3566024" "Inspector of postal services"
"3566025" "Inspector, RSPCA" "3566025" "Inspector, RSPCA"
"3566026" "Inspector, alkali" "3566026" "Inspector, alkali"
"3566027" "Inspector, bank" "3566027" "Inspector, bank"
"3566028" "Inspector, chemical" "3566028" "Inspector, chemical"
"3566029" "Inspector, chief (banking)" "3566029" "Inspector, chief (banking)"
"3566030" "Inspector, coal (coal mine: opencast)" "3566030" "Inspector, coal (coal mine: opencast)"
"3566031" "Inspector, control, quality (river, water authority)" "3566031" "Inspector, control, quality (river, water authority)"
"3566032" "Inspector, crane" "3566032" "Inspector, crane"
"3566033" "Inspector, drug" "3566033" "Inspector, drug"
"3566034" "Inspector, effluent" "3566034" "Inspector, effluent"
"3566035" "Inspector, electrical (coal mine)" "3566035" "Inspector, electrical (coal mine)"
"3566036" "Inspector, electrical and mechanical (coal mine)" "3566036" "Inspector, electrical and mechanical (coal mine)"
"3566037" "Inspector, fisheries (Environment Agency)" "3566037" "Inspector, fisheries (Environment Agency)"
"3566038" "Inspector, fisheries (MAFF)" "3566038" "Inspector, fisheries (MAFF)"
"3566039" "Inspector, fishery" "3566039" "Inspector, fishery"
"3566040" "Inspector, gaming (gaming club)" "3566040" "Inspector, gaming (gaming club)"
"3566041" "Inspector, insurance, national" "3566041" "Inspector, insurance, national"
"3566042" "Inspector, lighting, public" "3566042" "Inspector, lighting, public"
"3566043" "Inspector, livestock, area" "3566043" "Inspector, livestock, area"
"3566044" "Inspector, machine (docks: weighing machines)" "3566044" "Inspector, machine (docks: weighing machines)"
"3566045" "Inspector, machine (railways, weighing machines)" "3566045" "Inspector, machine (railways, weighing machines)"
"3566046" "Inspector, material" "3566046" "Inspector, material"
"3566047" "Inspector, materials" "3566047" "Inspector, materials"
"3566048" "Inspector, mines" "3566048" "Inspector, mines"
"3566049" "Inspector, operations, flight" "3566049" "Inspector, operations, flight"
"3566050" "Inspector, pollution (river, water authority)" "3566050" "Inspector, pollution (river, water authority)"
"3566051" "Inspector, refuse" "3566051" "Inspector, refuse"
"3566052" "Inspector, river (river, water authority)" "3566052" "Inspector, river (river, water authority)"
"3566053" "Inspector, safety (coal mine)" "3566053" "Inspector, safety (coal mine)"
"3566054" "Inspector, street (electricity supplier)" "3566054" "Inspector, street (electricity supplier)"
"3566055" "Inspector, telecommunications" "3566055" "Inspector, telecommunications"
"3566056" "Inspector, wages" "3566056" "Inspector, wages"
"3566057" "Inspector, water" "3566057" "Inspector, water"
"3566058" "Inspector, water, chief" "3566058" "Inspector, water, chief"
"3566059" "Investigator, licence, television" "3566059" "Investigator, licence, television"
"3566060" "Officer, Licensing (local government)" "3566060" "Officer, Licensing (local government)"
"3566061" "Officer, RSPCA" "3566061" "Officer, RSPCA"
"3566062" "Officer, control, pollution" "3566062" "Officer, control, pollution"
"3566063" "Officer, district (river, water authority)" "3566063" "Officer, district (river, water authority)"
"3566064" "Officer, effluent (water company, sewage works)" "3566064" "Officer, effluent (water company, sewage works)"
"3566065" "Officer, enforcement (local government: transport)" "3566065" "Officer, enforcement (local government: transport)"
"3566066" "Officer, field (MAFF)" "3566066" "Officer, field (MAFF)"
"3566067" "Officer, fisheries (Environment Agency)" "3566067" "Officer, fisheries (Environment Agency)"
"3566068" "Officer, fisheries (MAFF)" "3566068" "Officer, fisheries (MAFF)"
"3566069" "Officer, fishery" "3566069" "Officer, fishery"
"3566070" "Officer, fishery (MAFF)" "3566070" "Officer, fishery (MAFF)"
"3566071" "Officer, improvements (local government)" "3566071" "Officer, improvements (local government)"
"3566072" "Officer, inspecting (DETR)" "3566072" "Officer, inspecting (DETR)"
"3566073" "Officer, investigating (DETR)" "3566073" "Officer, investigating (DETR)"
"3566074" "Officer, investigation (DETR)" "3566074" "Officer, investigation (DETR)"
"3566075" "Officer, livestock" "3566075" "Officer, livestock"
"3566076" "Officer, markets (MAFF)" "3566076" "Officer, markets (MAFF)"
"3566077" "Officer, pollution (water company)" "3566077" "Officer, pollution (water company)"
"3566078" "Officer, quality, water" "3566078" "Officer, quality, water"
"3566079" "Officer, regional (RSPCA)" "3566079" "Officer, regional (RSPCA)"
"3566080" "Officer, repairs (local government)" "3566080" "Officer, repairs (local government)"
"3566081" "Officer, service, carcass" "3566081" "Officer, service, carcass"
"3566082" "Officer, standards, driving" "3566082" "Officer, standards, driving"
"3566083" "Superintendent (RSPCA)" "3566083" "Superintendent (RSPCA)"
"3566084" "Surveyor, Lloyd's" "3566084" "Surveyor, Lloyd's"
"3566085" "Surveyor, ship" "3566085" "Surveyor, ship"
"3566086" "Tester, gear, chain and suspension" "3566086" "Tester, gear, chain and suspension"
"3566087" "Tester, vehicle (DETR)" "3566087" "Tester, vehicle (DETR)"
"3567" "Occupational hygienists and safety officers (health and safety)" "3567" "Occupational hygienists and safety officers (health and safety)"
"3567001" "Adviser, health and safety" "3567001" "Adviser, health and safety"
"3567002" "Adviser, safety" "3567002" "Adviser, safety"
"3567003" "Adviser, toxicology" "3567003" "Adviser, toxicology"
"3567004" "Attendant, safety (chemical works)" "3567004" "Attendant, safety (chemical works)"
"3567005" "Consultant, fire" "3567005" "Consultant, fire"
"3567006" "Consultant, health and safety" "3567006" "Consultant, health and safety"
"3567007" "Consultant, protection, fire" "3567007" "Consultant, protection, fire"
"3567008" "Consultant, safety" "3567008" "Consultant, safety"
"3567009" "Coordinator, health and safety" "3567009" "Coordinator, health and safety"
"3567010" "Engineer, safety" "3567010" "Engineer, safety"
"3567011" "Hygienist, occupational" "3567011" "Hygienist, occupational"
"3567012" "Inspector (catering)" "3567012" "Inspector (catering)"
"3567013" "Inspector (government: HSE)" "3567013" "Inspector (government: HSE)"
"3567014" "Inspector, safety" "3567014" "Inspector, safety"
"3567015" "Investigator, accident" "3567015" "Investigator, accident"
"3567016" "Man, safety (steel mfr)" "3567016" "Man, safety (steel mfr)"
"3567017" "Officer, control, dust (coal mine)" "3567017" "Officer, control, dust (coal mine)"
"3567018" "Officer, health and safety" "3567018" "Officer, health and safety"
"3567019" "Officer, prevention, accident" "3567019" "Officer, prevention, accident"
"3567020" "Officer, safety" "3567020" "Officer, safety"
"3567021" "Officer, safety and training (coal mine)" "3567021" "Officer, safety and training (coal mine)"
"3567022" "Officer, safety, road" "3567022" "Officer, safety, road"
"3567023" "Officer, suppression, dust (coal mine)" "3567023" "Officer, suppression, dust (coal mine)"
"3567024" "Officer, ventilation (coal mine)" "3567024" "Officer, ventilation (coal mine)"
"3567025" "Organiser, safety, road" "3567025" "Organiser, safety, road"
"3567026" "Supervisor, safety" "3567026" "Supervisor, safety"
"3567027" "Worker, safety (UKAEA)" "3567027" "Worker, safety (UKAEA)"
"3568" "Environmental health officers" "3568" "Environmental health officers"
"3568001" "Inspector, food" "3568001" "Inspector, food"
"3568002" "Inspector, health, environmental" "3568002" "Inspector, health, environmental"
"3568003" "Inspector, health, port" "3568003" "Inspector, health, port"
"3568004" "Inspector, health, public" "3568004" "Inspector, health, public"
"3568005" "Inspector, hygiene, meat" "3568005" "Inspector, hygiene, meat"
"3568006" "Inspector, meat" "3568006" "Inspector, meat"
"3568007" "Inspector, meat, authorised" "3568007" "Inspector, meat, authorised"
"3568008" "Inspector, pollution, air" "3568008" "Inspector, pollution, air"
"3568009" "Inspector, sanitary" "3568009" "Inspector, sanitary"
"3568010" "Inspector, shops (local government)" "3568010" "Inspector, shops (local government)"
"3568011" "Inspector, smoke (local government)" "3568011" "Inspector, smoke (local government)"
"3568012" "Officer, control, smoke (local government)" "3568012" "Officer, control, smoke (local government)"
"3568013" "Officer, health, environmental" "3568013" "Officer, health, environmental"
"3568014" "Officer, health, public" "3568014" "Officer, health, public"
"3568015" "Officer, sanitary" "3568015" "Officer, sanitary"
"3568016" "Officer, technical (environmental health service)" "3568016" "Officer, technical (environmental health service)"
"3568017" "Technician, health, environmental" "3568017" "Technician, health, environmental"
"4" "Administrative and Secretarial Occupations" "4" "Administrative and Secretarial Occupations"
"41" "Administrative Occupations" "41" "Administrative Occupations"
"411" "Administrative Occupations: Government And Related Organisations" "411" "Administrative Occupations: Government And Related Organisations"
"4111" "Civil Service executive officers" "4111" "Civil Service executive officers"
"4111001" "Adviser (Job Centre)" "4111001" "Adviser (Job Centre)"
"4111002" "Adviser, claimant" "4111002" "Adviser, claimant"
"4111003" "Adviser, employment (government)" "4111003" "Adviser, employment (government)"
"4111004" "Adviser, security, social" "4111004" "Adviser, security, social"
"4111005" "B1 (Benefits Agency)" "4111005" "B1 (Benefits Agency)"
"4111006" "B1 (Cabinet Office)" "4111006" "B1 (Cabinet Office)"
"4111007" "B1 (Office for National Statistics)" "4111007" "B1 (Office for National Statistics)"
"4111008" "B1 (Scottish Office)" "4111008" "B1 (Scottish Office)"
"4111009" "B2 (Benefits Agency)" "4111009" "B2 (Benefits Agency)"
"4111010" "B2 (Dept for International Development)" "4111010" "B2 (Dept for International Development)"
"4111011" "B2 (Office for National Statistics)" "4111011" "B2 (Office for National Statistics)"
"4111012" "B3 (Benefits Agency)" "4111012" "B3 (Benefits Agency)"
"4111013" "B4 (Benefits Agency)" "4111013" "B4 (Benefits Agency)"
"4111014" "B5 (Benefits Agency)" "4111014" "B5 (Benefits Agency)"
"4111015" "Band 3D (Meteorological Office)" "4111015" "Band 3D (Meteorological Office)"
"4111016" "Band 5 (Customs and Excise)" "4111016" "Band 5 (Customs and Excise)"
"4111017" "Band 5 (Health and Safety Executive)" "4111017" "Band 5 (Health and Safety Executive)"
"4111018" "Band 6 (Customs and Excise)" "4111018" "Band 6 (Customs and Excise)"
"4111019" "Band C (Lord Chancellor's Dept)" "4111019" "Band C (Lord Chancellor's Dept)"
"4111020" "Band C (Welsh Office)" "4111020" "Band C (Welsh Office)"
"4111021" "Band D (Inland Revenue)" "4111021" "Band D (Inland Revenue)"
"4111022" "Broker, job (Job Centre)" "4111022" "Broker, job (Job Centre)"
"4111023" "C (Northern Ireland Office)" "4111023" "C (Northern Ireland Office)"
"4111024" "Clerk, valuation, grade, higher (Inland Revenue)" "4111024" "Clerk, valuation, grade, higher (Inland Revenue)"
"4111025" "Collector (Inland Revenue)" "4111025" "Collector (Inland Revenue)"
"4111026" "Collector of taxes" "4111026" "Collector of taxes"
"4111027" "Collector, tax" "4111027" "Collector, tax"
"4111028" "EO (government)" "4111028" "EO (government)"
"4111029" "Examiner, assistant (government)" "4111029" "Examiner, assistant (government)"
"4111030" "Executive, Revenue, Inland" "4111030" "Executive, Revenue, Inland"
"4111031" "Executive, registration (Land Registry)" "4111031" "Executive, registration (Land Registry)"
"4111032" "Executive, revenue (government)" "4111032" "Executive, revenue (government)"
"4111033" "Grade 11 (Foreign and Commonwealth Office)" "4111033" "Grade 11 (Foreign and Commonwealth Office)"
"4111034" "Grade C (DCMS)" "4111034" "Grade C (DCMS)"
"4111035" "Inspector, assistant (government)" "4111035" "Inspector, assistant (government)"
"4111036" "Inspector, fraud (government)" "4111036" "Inspector, fraud (government)"
"4111037" "Inspector, fund, social (government)" "4111037" "Inspector, fund, social (government)"
"4111038" "Investigator, fraud (government)" "4111038" "Investigator, fraud (government)"
"4111039" "LOI (DSS)" "4111039" "LOI (DSS)"
"4111040" "MPB4 (Employment Service)" "4111040" "MPB4 (Employment Service)"
"4111041" "MPB5 (Employment Service)" "4111041" "MPB5 (Employment Service)"
"4111042" "MPB6 (Employment Service)" "4111042" "MPB6 (Employment Service)"
"4111043" "MPB7 (Employment Service)" "4111043" "MPB7 (Employment Service)"
"4111044" "Officer, adjudication (government)" "4111044" "Officer, adjudication (government)"
"4111045" "Officer, clerical, higher (government)" "4111045" "Officer, clerical, higher (government)"
"4111046" "Officer, control, senior (Inland Revenue)" "4111046" "Officer, control, senior (Inland Revenue)"
"4111047" "Officer, disposals (government)" "4111047" "Officer, disposals (government)"
"4111048" "Officer, executive (government)" "4111048" "Officer, executive (government)"
"4111049" "Officer, fraud (government)" "4111049" "Officer, fraud (government)"
"4111050" "Officer, fund, social" "4111050" "Officer, fund, social"
"4111051" "Officer, investigating (government)" "4111051" "Officer, investigating (government)"
"4111052" "Officer, investigating, fraud (government)" "4111052" "Officer, investigating, fraud (government)"
"4111053" "Officer, investigation (government)" "4111053" "Officer, investigation (government)"
"4111054" "Officer, investigation, fraud (government)" "4111054" "Officer, investigation, fraud (government)"
"4111055" "Officer, liaison (government)" "4111055" "Officer, liaison (government)"
"4111056" "Officer, local I (DSS)" "4111056" "Officer, local I (DSS)"
"4111057" "Officer, presenting, appeals (government)" "4111057" "Officer, presenting, appeals (government)"
"4111058" "Officer, service, foreign (grade B5)" "4111058" "Officer, service, foreign (grade B5)"
"4111059" "Officer, substitution (MOD)" "4111059" "Officer, substitution (MOD)"
"4111060" "Officer, supply, assistant (MOD)" "4111060" "Officer, supply, assistant (MOD)"
"4111061" "Officer, supply, chart (MOD)" "4111061" "Officer, supply, chart (MOD)"
"4111062" "Officer, tax, grade, higher (Inland Revenue)" "4111062" "Officer, tax, grade, higher (Inland Revenue)"
"4111063" "Officer, taxation, grade, higher (Inland Revenue)" "4111063" "Officer, taxation, grade, higher (Inland Revenue)"
"4111064" "Payband 2 (Dept of Health)" "4111064" "Payband 2 (Dept of Health)"
"4111065" "RE2 (Land Registry)" "4111065" "RE2 (Land Registry)"
"4111066" "Servant, civil (EO)" "4111066" "Servant, civil (EO)"
"4111067" "Superintendent of Stamping (1st Class)" "4111067" "Superintendent of Stamping (1st Class)"
"4111068" "Supervisor (Benefits Agency)" "4111068" "Supervisor (Benefits Agency)"
"4112" "Civil Service administrative officers and assistants" "4112" "Civil Service administrative officers and assistants"
"4112001" "A1 (Benefits Agency)" "4112001" "A1 (Benefits Agency)"
"4112002" "A1 (Office for National Statistics)" "4112002" "A1 (Office for National Statistics)"
"4112003" "A1 (Scottish Office)" "4112003" "A1 (Scottish Office)"
"4112004" "A2 (Benefits Agency)" "4112004" "A2 (Benefits Agency)"
"4112005" "A2 (Office for National Statistics)" "4112005" "A2 (Office for National Statistics)"
"4112006" "A2 (Scottish Office)" "4112006" "A2 (Scottish Office)"
"4112007" "A3 (Benefits Agency)" "4112007" "A3 (Benefits Agency)"
"4112008" "A3 (Office for National Statistics)" "4112008" "A3 (Office for National Statistics)"
"4112009" "A3 (Scottish Office)" "4112009" "A3 (Scottish Office)"
"4112010" "A4 (Benefits Agency)" "4112010" "A4 (Benefits Agency)"
"4112011" "A4 (Scottish Office)" "4112011" "A4 (Scottish Office)"
"4112012" "A5 (Benefits Agency)" "4112012" "A5 (Benefits Agency)"
"4112013" "A6 (Benefits Agency)" "4112013" "A6 (Benefits Agency)"
"4112014" "A7 (Benefits Agency)" "4112014" "A7 (Benefits Agency)"
"4112015" "AA (government)" "4112015" "AA (government)"
"4112016" "AO (government)" "4112016" "AO (government)"
"4112017" "Administrator (armed forces)" "4112017" "Administrator (armed forces)"
"4112018" "Administrator (government)" "4112018" "Administrator (government)"
"4112019" "Adviser, benefits (government)" "4112019" "Adviser, benefits (government)"
